"","Afghanist","Albania","Australia","Canada","China","Denmark","Finland","France","Germany","Greece","Hong Kong","India","Ireland","Malaysia","Mexico","Netherlan","New Zeala","Norway","Philippin","Romania","Singapore","South Afr","South Kor","Sweden","Thailand","UK","USA"
"Hong Kong",0.903894499665088,0.904636412739617,0.966391852125023,0.976376090697973,0.929871216959316,0.889418366167277,0.929419387043885,0.908137941598743,0.921829314798639,0.881741852876362,0.941329858234454,0.949103962744945,0.93947605362942,0.922146641302762,0.909174043216108,0.937578189776941,0.937995117116798,0.911467403474194,0.944662903370848,0.912778472424569,0.954202809668259,0.918166933791086,0.9043478252938,0.92686933858852,0.855529332585774,0.969553657328242,0.918301831846096
"India",0.917131750510033,0.917302193488373,0.974360992713096,0.982391958845881,0.930230237760097,0.900835558082079,0.936472583022965,0.914259698468171,0.930641180822902,0.893459699111647,0.929434432324034,0.968696917859708,0.949200708755333,0.930015795564017,0.917872175007763,0.946410106554432,0.948353194171196,0.921995106299085,0.952488849950193,0.925554171265736,0.958930793880707,0.931187852110911,0.910840615404987,0.934149133507613,0.852712587635384,0.978436071533735,0.928839330029493
"Ireland",0.939521082895838,0.941663263133127,0.983888664629952,0.988710582146778,0.933112360411315,0.927621548696187,0.955004223392782,0.936406823414311,0.950662560580876,0.911947930903097,0.937441321908036,0.960425376555494,0.971420179574184,0.933767757431955,0.929983817921883,0.961909846326946,0.965545080220414,0.948189026628216,0.957830901341698,0.934299328094208,0.965078943304,0.951037392722002,0.920285169094901,0.954354852520213,0.841335996140814,0.987256592599355,0.954130482694045
"Malaysia",0.903935589544319,0.906087543567562,0.964090139887799,0.974633612523956,0.922014967251775,0.886345684952362,0.9259387150825,0.90282206209736,0.919241909259087,0.876645645165185,0.923400001992692,0.949793692351818,0.937901987748213,0.938051324246133,0.905877790952351,0.937011408960256,0.937748410740811,0.911604259866513,0.947124300264054,0.916274872952002,0.952382769167442,0.919161729530511,0.901099451459907,0.92129463298326,0.85483278831479,0.968734738825408,0.918946596695636
"Mexico",0.910173636485456,0.911430769805953,0.965203659091741,0.975052695558771,0.915337570667488,0.895245082055504,0.932610028833925,0.911894148773432,0.927596805222339,0.89031405655271,0.919599181301817,0.945725202000242,0.940206106512881,0.911147339484637,0.933241815406132,0.939879814576071,0.941689024222289,0.918159371334565,0.940345635196168,0.920641407320338,0.946260893194402,0.922118552442244,0.90350552520822,0.926533622147979,0.836448810030287,0.969655086372298,0.927337239418556
"Netherlan",0.931455697731084,0.933260612478715,0.97964816868105,0.987030829040288,0.932453413546749,0.926218680774295,0.955591010051029,0.934689775623243,0.949993343465258,0.908843859301082,0.93104705292769,0.957195078057939,0.959302383811141,0.930330125009022,0.928684082954204,0.971980158421222,0.960086689455841,0.946453949208864,0.951023509028376,0.932083815933471,0.959324873680914,0.942908589596413,0.921221112954916,0.953651163172158,0.846734066935879,0.983455051654818,0.944282405852291
"New Zeala",0.936632977770643,0.93950947079359,0.984094952852217,0.989316584556064,0.927528124226011,0.924882874746588,0.953999793883951,0.932269464991167,0.948191322557403,0.907987465431028,0.93382997287053,0.958377693540692,0.96325518003634,0.927529961366398,0.924314792426012,0.960654936875897,0.968514261131123,0.94541815403927,0.954359515024958,0.927557874507179,0.962652469714533,0.946815640885046,0.916317863052208,0.95140110415954,0.833716925099635,0.986602739876668,0.951981098344687
"Norway",0.929199266167877,0.931073855422083,0.9766801678856,0.983657009926732,0.92361693353497,0.926842271620753,0.95429552248884,0.931588349249186,0.946696749287023,0.907319866109554,0.928670626365312,0.951389651930367,0.956925703994813,0.921944501844848,0.923324441244661,0.959999499237011,0.957095426201118,0.955268711509425,0.947417471988271,0.928644476718707,0.955708901247071,0.940926217960922,0.915510865303954,0.953001394616387,0.842048072310964,0.98007705210281,0.942071467380675
"Philippin",0.914775879686501,0.913760450805006,0.971755253913975,0.979316936419517,0.920829931254902,0.893691152976964,0.931601765853495,0.907963128943627,0.923184445824124,0.883015575403357,0.92201133221714,0.953927910803224,0.944205893319895,0.927242711016194,0.912080727427481,0.942227169347703,0.943445009281121,0.91878899309473,0.961520442247494,0.918072507301631,0.955357598591791,0.924362557111533,0.904215464452222,0.927828418615172,0.847666431441372,0.974558481625839,0.928194993012205
"Romania",0.906462675328775,0.909120269432249,0.959887917938367,0.97095864578658,0.916589689157374,0.900752860568496,0.928458074504299,0.910609162467358,0.921724321180263,0.887766577502317,0.91791856366833,0.941826239261611,0.935329274337412,0.916201271906197,0.91079791939007,0.934364770599636,0.936556377597987,0.916870487869082,0.93791376420237,0.944039642118509,0.942414362801838,0.91997560333122,0.898845256683836,0.92657370401505,0.837175855701558,0.963632300785001,0.919587756834144
