"","Afghanist","Albania","Australia","Canada","China","Denmark","Finland","France","Germany","Greece","Hong Kong","India","Ireland","Malaysia","Mexico","Netherlan","New Zeala","Norway","Philippin","Romania","Singapore","South Afr","South Kor","Sweden","Thailand","UK","USA"
"Hong Kong",0.888169284160484,0.889068749912165,0.951078047741624,0.960927794205125,0.915074709818439,0.872960118171256,0.914874058022523,0.893419711247161,0.906273939154036,0.868171245829388,0.912862983970001,0.935613446846014,0.924962497467279,0.908377619729969,0.89422649952096,0.921574568890966,0.923086368348495,0.895689316964645,0.930816517259299,0.896015744383274,0.942084318283983,0.902926052046579,0.890446498652187,0.912006585359292,0.839801123569254,0.953199809111658,0.90583939941584
"India",0.903572473703004,0.903802160558322,0.962678386946281,0.97087759697929,0.915509480598217,0.88607657034691,0.923380784254049,0.900522302090143,0.916839299928719,0.88123376294413,0.916707199007043,0.949428735824352,0.937019111045854,0.917638500136324,0.904356113122726,0.932670800774001,0.935934990684909,0.908093244055357,0.940600663394218,0.911246749513668,0.948063384397493,0.918372032575495,0.897882899260764,0.920765893704813,0.836677725689803,0.966853294026021,0.917984312576365
"Ireland",0.929625249653892,0.932140061709111,0.97654741395675,0.981328134474866,0.918999703754544,0.916849212822329,0.945731445105484,0.926217861419919,0.940844782963469,0.901843595105091,0.926158214320281,0.94993571732924,0.956311025977305,0.922054028031014,0.918461011248123,0.952144343264894,0.957260575534009,0.938955387809482,0.947279396879657,0.921672600199139,0.955838408641615,0.941918422335121,0.908700049300223,0.945078133972754,0.824062589291103,0.980411640723228,0.947133437681273
"Malaysia",0.888217097351114,0.890756771109872,0.947727543078264,0.958045863660191,0.90556086604099,0.869430119156857,0.910676085420448,0.887252116245556,0.903171659464295,0.862490227397255,0.909584396466824,0.936485996348685,0.923010972829005,0.909950372110198,0.890387771554361,0.920862477560484,0.922780342718797,0.895850563605099,0.933893802116153,0.900184103001719,0.939782673017275,0.904106122088029,0.886726031989691,0.905298901162871,0.839028748030377,0.951941019421617,0.906582518225478
"Mexico",0.895475841673103,0.896972254221979,0.949348445650363,0.958738996129169,0.897474602199096,0.879654044388785,0.918722230721997,0.897777741670833,0.913189116589001,0.877727145009579,0.905098058273264,0.931339110964162,0.925867615992702,0.895432998833082,0.897761579410398,0.924466281202384,0.927668456036683,0.903573912760527,0.925418987095192,0.905389822719521,0.93204087449664,0.907613634231205,0.889481785368413,0.911602639389378,0.818643345801561,0.953355719418344,0.916253089499353
"Netherlan",0.920240169784866,0.922365717350607,0.97037470425743,0.97854994657115,0.918201725360208,0.915237551203293,0.946439157392626,0.924225706524205,0.940042396698898,0.898383318565141,0.918610672491933,0.945849195133538,0.949543153396692,0.918008421388564,0.916947374374982,0.956037859788291,0.950489743348629,0.93691108867183,0.938768666514202,0.919031298341123,0.948561742487022,0.932275681960191,0.909772015800145,0.944231429903809,0.830048336375552,0.974568152597503,0.93578311182976
"New Zeala",0.926264579739633,0.929634672770647,0.976847698953074,0.982330417820314,0.912237246773019,0.913702932532685,0.944520021677602,0.921417611315719,0.937881787247667,0.897428649988687,0.921895520961413,0.947345274961117,0.954443824528471,0.91471302524412,0.911859014503625,0.950567701793754,0.949820875397005,0.935690696343298,0.942939404181089,0.913635535812533,0.952769860744202,0.936910396397944,0.904156166537177,0.941524078816838,0.815614046468612,0.979406579702779,0.944656181143029
"Norway",0.917614530710339,0.919821982358043,0.966054311662219,0.972969898280488,0.90750083199452,0.915953953237679,0.944876694353094,0.920627366532205,0.936089805190486,0.896684440909011,0.915805632707609,0.938504981357694,0.946596549144463,0.908139730208046,0.910705677782887,0.949744223922621,0.946779246538565,0.928556562293078,0.934260330939634,0.914930967402165,0.943988939940505,0.929924106369993,0.903231886151786,0.943449605251265,0.824852187653406,0.969375705492801,0.933234911557388
"Philippin",0.900831124667799,0.899682244826938,0.95888532374022,0.965791736399202,0.904125798704206,0.877868838657365,0.917506183816546,0.893216889934595,0.907898731013307,0.869591133236529,0.907945265668768,0.941716031739018,0.930826545980908,0.914374972252451,0.897611546865473,0.927415447675981,0.929846658489786,0.904315744339335,0.942616800686172,0.902327216919961,0.943544678346686,0.910275570323366,0.890294901538155,0.913160584582461,0.8310822053877,0.960892908247253,0.917241686861525
"Romania",0.891157676311514,0.894284575390397,0.941610547213036,0.951967739382947,0.89899090579777,0.885981564675633,0.913714637155523,0.896286873580913,0.906148052599006,0.874887332297665,0.903114323787713,0.92640668822252,0.919821326405474,0.901380761729067,0.896117622646404,0.917537297568432,0.92130169146102,0.902055327291294,0.922378616075104,0.899304176215008,0.927176505562367,0.905071574644444,0.884144230465606,0.911650867318412,0.819449543362187,0.944097874618925,0.907321482452911
