"","Afghanist","Albania","Australia","Canada","China","Denmark","Finland","France","Germany","Greece","Hong Kong","India","Ireland","Malaysia","Mexico","Netherlan","New Zeala","Norway","Philippin","Romania","Singapore","South Afr","South Kor","Sweden","Thailand","UK","USA"
"Hong Kong",0.0257037074278771,0.0256001299778982,0.0170007118533087,0.015193197439493,0.0223992633865068,0.027395880132625,0.0224257089882979,0.0250930621954134,0.0235312717415722,0.0279074587005827,0.0230279217790365,0.0195035112407192,0.0210549591083362,0.0232656934697059,0.0249979074235282,0.0215250254763927,0.0213165479689736,0.0248244486373542,0.0202169867858961,0.0247855756762,0.0184975113785291,0.0239478518652366,0.0254406584770544,0.022800286401162,0.0307641520868456,0.0166279622176308,0.0235857573786087
"India",0.0231368260936376,0.0231092541264892,0.0143940654237185,0.0127150148942287,0.021657446953959,0.0251483673050673,0.02062396298494,0.0234999064046157,0.0214863347557706,0.0256773243901521,0.021503393524695,0.0168110124446709,0.0186985384838583,0.0213828403202247,0.0230426210654829,0.0193332556593678,0.0188587852970692,0.0225879588493784,0.0181590893986681,0.022197057301053,0.0169800940854377,0.0212874068525406,0.0238096223708777,0.0209729417796223,0.0301110554664394,0.0135651142955102,0.0213379028777617
"Ireland",0.0225454649524738,0.0221389741269955,0.0130150587102208,0.0116130051329507,0.0241876717487869,0.0245066498153669,0.0197981627958205,0.0230848141283881,0.0206703242137731,0.0266262548350057,0.0230941433783922,0.0190158070260928,0.0177689550547502,0.0237272606445726,0.0242679685274709,0.0185916272212613,0.0175697303942063,0.0209978308096301,0.0195137594698411,0.0237852443514356,0.017859657248285,0.0204818869545748,0.025679468698357,0.0199169762157739,0.0356475642623795,0.0118945986623442,0.0195407531297801
"Malaysia",0.0255867538851295,0.0252944222668905,0.0174970147161472,0.0156752650514659,0.0235181685364704,0.0276534298398711,0.0228723808658582,0.0256969571259933,0.0238138023554339,0.0283788166637565,0.0230117259443754,0.0192868918511177,0.0212344939897833,0.0231910293978663,0.025337105745833,0.0215287455703522,0.0212662754768699,0.0246976688048897,0.0196765335343952,0.0241783888220818,0.0187796821359688,0.0236986136702444,0.0257568386558468,0.0235507644919556,0.0307044739616512,0.0167770182741491,0.0233906116444062
"Mexico",0.0245409643967874,0.0243646616451899,0.0170836110225164,0.0154188925102915,0.0243051898280368,0.0263329209691988,0.0216405938174113,0.0242692313396214,0.0223650757623909,0.0265428964161926,0.0233841094452439,0.0198901471936327,0.020667467777303,0.0245459933628746,0.0241032388584913,0.0208618932781784,0.020414895141753,0.0235711384083585,0.0207299103775053,0.0233481359785883,0.0197882403494146,0.0230721054284144,0.0252348202795151,0.0225685124638302,0.0323258559519978,0.0163939076912357,0.0219668448710647
"Netherlan",0.0232522813734519,0.0229403601334143,0.0141711405859093,0.0120583434212844,0.0235475393266758,0.023970395888206,0.0190544825564781,0.0226638875702076,0.0201602350575271,0.0262455672166511,0.0234886030917053,0.019159135870542,0.0184941132078016,0.0235753464342715,0.0237273995043928,0.0173214925240977,0.0183198134974893,0.0206799734030838,0.020373250167965,0.023427829080902,0.0186731068974481,0.0214262308380504,0.024731137193984,0.0194432210604663,0.0339419015426267,0.0131299300921803,0.0208640246705364
"New Zeala",0.0228324288036636,0.0223045460108423,0.0127941404102843,0.0111770494469514,0.0249097375448976,0.0247008586860617,0.0198053341234039,0.0235709260405399,0.0209567295156603,0.026929424227974,0.0234991418122373,0.0192944634845667,0.0179468263506029,0.0245558734748338,0.0249633567447384,0.0186947401600127,0.0188304691273664,0.0213231290679414,0.0200854785362808,0.0247105023043128,0.0182735802663411,0.0211199522276157,0.02603131575326,0.0203330518533414,0.0361058812068948,0.0120664154404603,0.019781015978568
"Norway",0.025085632602162,0.0247472761545527,0.016102453631577,0.0143689021555389,0.0265808375158237,0.0253371867666776,0.0205195283558585,0.0246226698736473,0.0220945325720618,0.0280919969486071,0.0253595338524785,0.021673034195308,0.0201968857228722,0.0264888806019162,0.0261163012804665,0.0195926301082365,0.0201623085596342,0.0234812959173241,0.0224085370407248,0.0254909190896412,0.0206841007040279,0.023135775947759,0.0271872878575408,0.020783446501795,0.0365764966743927,0.0152944123087614,0.0225826270254327
"Philippin",0.0239701865526236,0.0241086350461412,0.0154341301270534,0.0140782682185682,0.023568644163997,0.0266009387657517,0.0218622279065238,0.0248733913421035,0.0231002418638312,0.027487629000313,0.0230944053665447,0.01837630864436,0.02001951034506,0.0222732751792296,0.0243561820180647,0.0205071742359106,0.0201608064847688,0.0235452855307076,0.0182437894676591,0.0237886886024644,0.0180857350014416,0.0228002218765212,0.0252114094576715,0.0224306658468801,0.0312839383503086,0.0150525985836337,0.021897247895565
"Romania",0.028479327171808,0.0280672589546368,0.0208592180932516,0.018918963346574,0.0274353851004148,0.0291486443114995,0.025357088545321,0.0278001849627181,0.0264455416522327,0.0305338427407892,0.0268695633996138,0.0234180104708187,0.0244433235247753,0.0271088843102909,0.0278228594755199,0.0247890340439114,0.0242166196872211,0.0270160114678953,0.0240503562102714,0.0272185209098546,0.0232952073087379,0.0265967738662723,0.0293825616069773,0.0256585415730487,0.0366800667976822,0.0204100929372771,0.0262796974782243
